linetype	x	xend	y	yend	key	showSelected1	showSelected2	PANEL
dotted	10.605882980679	10.6188092207447	1.09782329634117	1.09782329634117	log.bases.per.probe left -1	10.6188092207447	margin	1
dotted	10.605882980679	10.6207205001521	1.09782329634117	1.09782329634117	log.bases.per.probe left -1	10.6207205001521	margin	1
dotted	10.605882980679	10.6250808065712	1.09782329634117	1.09782329634117	log.bases.per.probe left -1	10.6250808065712	margin	1
dotted	10.605882980679	11.658095569196	1.64893622494239	1.64893622494239	log.bases.per.probe left -1	11.658095569196	margin	1
dotted	10.605882980679	12.6902202069001	1.64893622494239	1.64893622494239	log.bases.per.probe left -1	12.6902202069001	margin	1
dotted	10.605882980679	12.6942688120164	1.37337976064178	1.37337976064178	log.bases.per.probe left -1	12.6942688120164	margin	1
dotted	10.605882980679	12.7747146113588	1.37337976064178	1.37337976064178	log.bases.per.probe left -1	12.7747146113588	margin	1
dotted	10.605882980679	12.8538994702124	1.08093585685601	1.08093585685601	log.bases.per.probe left -1	12.8538994702124	margin	1
dotted	10.605882980679	12.8562053928237	1.08093585685601	1.08093585685601	log.bases.per.probe left -1	12.8562053928237	margin	1
dotted	10.605882980679	12.8954195919002	1.08093585685601	1.08093585685601	log.bases.per.probe left -1	12.8954195919002	margin	1
dotted	10.605882980679	12.975327032703	0.844786190035743	0.844786190035743	log.bases.per.probe left -1	12.975327032703	margin	1
dotted	10.605882980679	13.0203756460408	0.844786190035743	0.844786190035743	log.bases.per.probe left -1	13.0203756460408	margin	1
dotted	10.605882980679	13.0286054368555	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.0286054368555	margin	1
dotted	10.605882980679	13.0429330647357	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.0429330647357	margin	1
dotted	10.605882980679	13.0665981428586	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.0665981428586	margin	1
dotted	10.605882980679	13.090414821262	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.090414821262	margin	1
dotted	10.605882980679	13.1014535566124	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.1014535566124	margin	1
dotted	10.605882980679	13.1045090162125	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.1045090162125	margin	1
dotted	10.605882980679	13.1094743003138	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.1094743003138	margin	1
dotted	10.605882980679	13.1187624931002	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.1187624931002	margin	1
dotted	10.605882980679	13.1252450510952	1.05049038750799	1.05049038750799	log.bases.per.probe left -1	13.1252450510952	margin	1
